trade_date,open,high,low,close
20200708,64.3,65.3,63.26,63.98
20200709,64.0,65.0,63.0,64.98
20200710,64.5,64.52,63.2,63.4
20200713,62.92,64.1,62.84,63.25
20200714,63.86,63.87,61.19,61.84
20200715,61.89,64.0,61.85,62.98
20200716,63.0,64.49,61.09,61.14
20200717,60.8,64.42,60.72,63.9
20200720,63.9,67.68,63.28,67.38
20200721,67.0,67.92,66.07,67.35
20200722,66.8,67.98,66.31,67.35
20200723,66.5,70.47,66.36,70.19
20200724,69.17,70.15,66.0,66.5
20200727,67.61,67.8,64.8,67.18
20200728,67.18,68.54,66.62,67.11
20200729,67.35,72.0,67.35,71.63
20200730,71.6,72.3,70.25,70.97
20200731,70.58,73.75,70.07,71.75
20200803,72.0,74.74,71.81,72.49
20200804,72.0,72.28,70.33,72.05
20200805,71.0,72.4,70.8,71.4
20200806,71.0,71.8,70.04,70.6
20200807,70.38,71.11,68.85,70.55
20200810,70.2,72.4,69.3,72.0
20200811,72.15,73.49,71.18,71.3
20200812,70.66,71.61,69.17,69.66
20200813,69.81,71.08,69.78,70.01
20200814,70.0,72.07,69.73,72.04
20200817,72.4,73.8,71.4,72.13
20200818,72.14,72.74,71.06,71.8
20200819,71.7,72.3,70.0,70.12
20200820,69.8,70.09,68.65,69.04
20200821,69.15,69.88,68.85,69.38
20200824,69.3,70.39,69.16,70.37
20200825,70.35,70.4,69.54,69.98
20200826,69.98,71.4,68.65,69.29
20200827,69.3,69.85,67.09,67.99
20200828,67.4,70.52,67.1,70.28
20200831,71.03,73.49,70.53,70.54
20200901,70.56,72.22,70.55,71.7
20200902,72.0,72.49,70.38,70.93
20200903,71.0,72.98,70.72,70.93
20200904,69.5,69.88,68.2,68.79
20200907,68.1,68.67,66.49,66.7
20200908,66.7,67.0,65.64,66.88
20200909,66.0,66.58,64.73,64.86
20200910,65.51,66.21,64.91,65.9
20200911,65.5,66.8,64.58,66.18
20200914,66.28,68.25,66.2,68.0
20200915,68.52,70.77,68.46,70.42
20200916,70.29,71.98,69.2,69.66
20200917,69.8,71.0,69.31,70.6
20200918,71.12,71.33,70.04,70.28
20200921,70.25,71.16,69.41,70.03
20200922,69.5,70.56,69.46,69.89
20200923,70.01,71.36,69.48,71.07
20200924,70.56,70.95,69.67,70.46
20200925,70.65,71.77,70.08,70.3
20200928,70.3,71.5,69.96,70.9
20200929,71.0,72.9,71.0,72.45
20200930,72.9,73.63,72.28,72.6
20201009,73.06,74.16,73.01,73.39
20201012,72.6,73.98,72.3,73.98
20201013,73.98,75.95,73.44,75.89
